Year,Date,,Schl,Rk.,,Opp,Rk.,Outcome,,PTS,OPP,MOV,,OT
2016-17,2017-03-24,,UCLA,8,,Kentucky,5,L,,75,86,-11,,
2016-17,2017-03-24,,Butler,21,,North Carolina,6,L,,80,92,-12,,
2016-17,2017-03-24,,North Carolina,6,,Butler,21,W,,92,80,12,,
2016-17,2017-03-23,,Arizona,4,,Xavier,,L,,71,73,-2,,
2016-17,2017-03-23,,Xavier,,,Arizona,4,W,,73,71,2,,
2016-17,2017-03-23,,Gonzaga,2,,West Virginia,13,W,,61,58,3,,
2016-17,2017-03-23,,West Virginia,13,,Gonzaga,2,L,,58,61,-3,,
2016-17,2017-03-23,,Kansas,3,,Purdue,15,W,,98,66,32,,
2016-17,2017-03-23,,Purdue,15,,Kansas,3,L,,66,98,-32,,
2016-17,2017-03-23,,Michigan,23,,Oregon,9,L,,68,69,-1,,
2016-17,2017-03-23,,Oregon,9,,Michigan,23,W,,69,68,1,,
2016-17,2017-03-19,,Baylor,12,,Southern California,,W,,82,78,4,,
2016-17,2017-03-19,,Southern California,,,Baylor,12,L,,78,82,-4,,
2016-17,2017-03-19,,Duke,7,,South Carolina,,L,,81,88,-7,,
2016-17,2017-03-19,,South Carolina,,,Duke,7,W,,88,81,7,,
2016-17,2017-03-19,,Kansas,3,,Michigan State,,W,,90,70,20,,
2016-17,2017-03-19,,Michigan State,,,Kansas,3,L,,70,90,-20,,
2016-17,2017-03-19,,Kentucky,5,,Wichita State,19,W,,65,62,3,,
2016-17,2017-03-19,,Wichita State,19,,Kentucky,5,L,,62,65,-3,,
2016-17,2017-03-19,,Louisville,10,,Michigan,23,L,,69,73,-4,,
2016-17,2017-03-19,,Michigan,23,,Louisville,10,W,,73,69,4,,
2016-17,2017-03-19,,Arkansas,,,North Carolina,6,L,,65,72,-7,,
2016-17,2017-03-19,,North Carolina,6,,Arkansas,,W,,72,65,7,,
2016-17,2017-03-19,,Oregon,9,,Rhode Island,,W,,75,72,3,,
2016-17,2017-03-19,,Rhode Island,,,Oregon,9,L,,72,75,-3,,
2016-17,2017-03-19,,Cincinnati,18,,UCLA,8,L,,67,79,-12,,
2016-17,2017-03-19,,UCLA,8,,Cincinnati,18,W,,79,67,12,,
2016-17,2017-03-18,,Arizona,4,,Saint Mary's (CA),22,W,,69,60,9,,
2016-17,2017-03-18,,Saint Mary's (CA),22,,Arizona,4,L,,60,69,-9,,
2016-17,2017-03-18,,Butler,21,,Middle Tennessee,,W,,74,65,9,,
2016-17,2017-03-18,,Middle Tennessee,,,Butler,21,L,,65,74,-9,,
2016-17,2017-03-18,,Florida,20,,Virginia,24,W,,65,39,26,,
2016-17,2017-03-18,,Virginia,24,,Florida,20,L,,39,65,-26,,
2016-17,2017-03-18,,Florida State,16,,Xavier,,L,,66,91,-25,,
2016-17,2017-03-18,,Xavier,,,Florida State,16,W,,91,66,25,,
2016-17,2017-03-18,,Gonzaga,2,,Northwestern,,W,,79,73,6,,
2016-17,2017-03-18,,Northwestern,,,Gonzaga,2,L,,73,79,-6,,
2016-17,2017-03-18,,Iowa State,16,,Purdue,15,L,,76,80,-4,,
2016-17,2017-03-18,,Purdue,15,,Iowa State,16,W,,80,76,4,,
2016-17,2017-03-18,,Villanova,1,,Wisconsin,25,L,,62,65,-3,,
2016-17,2017-03-18,,Wisconsin,25,,Villanova,1,W,,65,62,3,,
2016-17,2017-03-18,,Notre Dame,14,,West Virginia,13,L,,71,83,-12,,
2016-17,2017-03-18,,West Virginia,13,,Notre Dame,14,W,,83,71,12,,
2016-17,2017-03-17,,Arkansas,,,Seton Hall,,W,,77,71,6,,
2016-17,2017-03-17,,Seton Hall,,,Arkansas,,L,,71,77,-6,,
2016-17,2017-03-17,,Baylor,12,,New Mexico State,,W,,91,73,18,,
2016-17,2017-03-17,,New Mexico State,,,Baylor,12,L,,73,91,-18,,
2016-17,2017-03-17,,Cincinnati,18,,Kansas State,,W,,75,61,14,,
2016-17,2017-03-17,,Kansas State,,,Cincinnati,18,L,,61,75,-14,,
2016-17,2017-03-17,,Creighton,,,Rhode Island,,L,,72,84,-12,,
2016-17,2017-03-17,,Rhode Island,,,Creighton,,W,,84,72,12,,
